LOKASYON_Y;LOKASYON_X;ADI;TELEFON;ADRES;BOLGE_ID;BOLGE;ECZANE_ID;ILCE_ID
27.209557;38.458617;YILDIZ ECZANESİ;02323881895;ANKARA CAD. NO:237/1-B;11;BORNOVA 2;452;1203
27.208600;38.457500;BORNOVA EGE ECZANESİ;02323435516;KAZIMDIRIK MAH. ÜNIVERSITE CAD. NO:32/B;11;BORNOVA 2;453;1203
27.211300;38.461600;BORNOVA GÜL ECZANESİ;02323426280;ZAFER CAD. NO:34/A;11;BORNOVA 2;454;1203
27.2093174064705;38.4578648903051;YAVUZ;3880864;E.Ü. Cad. No:18 Hastane Karşısı;11;BORNOVA 2;455;-1
27.207983;38.457142;ANKARA ECZANESİ;02323882218;KAZIM DİRİK MAH ÜNİVERSİTE CAD NO:42/B BORNOVA;11;BORNOVA 2;456;1203
27.212088;38.458736;ELİF SAĞSÖZ ECZANESİ;02323421054;KAZIM DİRİK MAH. 168 SOK. NO:8/E;11;BORNOVA 2;457;1203
27.210000;38.461000;SENGÜL ECZANESİ;02323398154;KAZIM DIRIK MH.GEDIZ CD.NO.6/G;11;BORNOVA 2;458;1203
27.208300;38.458400;İZMİR ECZANESİ;02323883286;ANKARA CAD. NO:227/A BORNOVA;11;BORNOVA 2;459;1203
27.208900;38.458700;GÖKÇELI ECZANESİ;02323741687;KAZIMDIRIK MAH. 186/1 SOK. NO:3/A BORNOVA;11;BORNOVA 2;460;1203
27.209500;38.458600;ÇEVRE ECZANESİ;2323746625;ANKARA CAD. NO:237/1A BORNOVA;11;BORNOVA 2;461;1203
27.208800;38.458500;YENI FILIZ ECZANESİ;02323884834;ANKARA CAD. NO:233/A BORNOVA;11;BORNOVA 2;462;1203
27.208700;38.457500;İLGİSU ECZANESİ;02323390545;KAZIM DIRIK MAH. ÜNIVERSITE CAD. NO:30/A BORNOVA;11;BORNOVA 2;463;1203
27.214200;38.462500;VITAMIN ECZANESİ;02323423333;KAZIMDIRIK MAH. SÜVARI CAD. NO:44/A;11;BORNOVA 2;464;1203
27.196217;38.459984;BELMA ECZANESİ;02323396833;MUSTAFA KEMAL CAD.NO:155/D MANAVKUYU MAH.BAYRAKLI;12;BORNOVA 3;465;2056
27.190243991633;38.4584042624675;YENİ NURAY;3481072;Sakarya Cad. 273/5 Sok. No:12/C;12;BORNOVA 3;466;-1
27.200200;38.462000;ENGIN ECZANESİ;02323426570;Manavkuyu Mah.236 Sok. No:3/B;12;BORNOVA 3;467;2056
27.1995493135025;38.4565151257622;ARINÇ;3477492;Haşim İşcan Cad. No:9/A Özkanlar Sitesi;12;BORNOVA 3;468;-1
27.178800;38.455300;ATALAY ECZANESİ;02324627226;ADALET MAH. Haydar Aliyev cad. No:30;12;BORNOVA 3;469;2056
27.182500;38.459300;YENI BASAR ECZANESİ;02323485151;ŞEHİT PİLOT ÜSTEĞMEN TÜRKER AYDIN SK. 30/C;12;BORNOVA 3;470;2056
27.182000;38.456200;BORNOVA CEREN ECZANESİ;02323484221;Manavkuyu Mah. SAKARYA CAD.NO:102/B BAYRAKLI;12;BORNOVA 3;471;2056
27.205100;38.461600;BORNOVA HÜLYA ECZANESİ;02323426812;MUSTAFA KEMAL CAD. 114/B;12;BORNOVA 3;472;1203
27.195300;38.464400;BORNOVA SEÇIL ECZANESİ;02323422820;DUMLUPINAR CAD.NO:140/C;12;BORNOVA 3;473;2056
27.186700;38.461800;YONCA ECZANESİ;02323485353;MANAVKUYU MAH.275/8 SOK.NO:10/D  BAYRAKLI;12;BORNOVA 3;474;2056
27.203600;38.461300;YENI BULVAR ECZANESİ;02323740666;KAZIM DIRIK MAH. MUSTAFA KEMAL CAD. NO:122/F BORNOVA;12;BORNOVA 3;475;1203
